Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,100.0,,100.0,100.0,100.0,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,100.0,100.0,100.0,,100.0,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,,100.0,100.0,100.0,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,100.0,100.0,,,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,100.0,,100.0,5.0,57.1,50.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,50.0,30.0,50.0,,,50.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Angola,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,56.0,60.0,60.0,60.0,31.6,100.0
Angola,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,60.0,65.0,70.0,,,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,50.0,65.0,80.0,,50.0,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,50.0,65.0,80.0,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,80.0,100.0,100.0,,80.0,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,80.0,100.0,100.0,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,90.0,100.0,100.0,,90.0,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,90.0,100.0,100.0,,,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,75.0,80.0,90.0,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,75.0,80.0,90.0,,,80.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent refugee qualifications recognized,65.0,75.0,85.0,,65.0,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent refugee qualifications recognized,65.0,75.0,85.0,,,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent refugee qualifications recognized,,,,,,100.0
Armenia,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent refugee qualifications recognized,,,,,,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,100.0,100.0,100.0,100.0,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,100.0,100.0,100.0,,,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,100.0,100.0,100.0,,,100.0
Bosnia and Herzegovina,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,100.0,100.0,100.0,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,79.0,79.0,100.0,,77.5,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,77.5,80.0,90.0,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,81.0,95.0,100.0,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,81.0,95.0,100.0,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,98.0,98.0,100.0,,77.7,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,78.0,80.0,90.0,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,97.0,97.0,100.0,,85.7,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,86.0,90.0,98.0,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,86.0,95.0,100.0,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,86.0,95.0,100.0,,,100.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,78.0,95.0,100.0,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,78.0,95.0,100.0,,,80.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,2.0,2.0,10.0,,3.2,50.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,3.0,8.0,20.0,,,50.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Botswana,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Brazil,"Refugees, asylum seekers and other persons of concern",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,95.0,98.0,98.3,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,80.0,90.0,90.0,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,80.0,90.0,90.0,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,35.0,60.0,60.0,31.9,30.0,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,21.0,26.0,30.0,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,80.0,85.0,77.8,9.6,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,80.0,85.0,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,78.0,80.0,80.0,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,78.0,80.0,80.0,,,100.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,30.0,40.0,40.0,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,30.0,40.0,40.0,,,80.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,11.0,25.0,30.0,20.8,12.0,50.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,19.0,22.0,25.0,,,50.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,15.0,20.0,20.0,,,50.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,15.0,20.0,20.0,,,50.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,60.0,60.0,65.0,43.3,55.0,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,73.0,75.0,75.0,,,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are qualified,,,,,,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers with professional teaching qualifications,57.0,70.0,70.0,,,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers with professional teaching qualifications,57.0,70.0,70.0,,,70.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,1.0,5.0,10.0,4.4,4.0,50.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,40.0,50.0,50.0,,,50.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Burundi,Refugees and asylum-seekers in Burundi,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Cambodia,Urban (non-Montagnard) and Montagnard refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,65.0,100.0,100.0,,,100.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,0.0,50.0,80.0,,,80.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,0.0,50.0,80.0,,,80.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,25.0,50.0,,,80.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,36.7,48.0,60.0,,,100.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,59.0,70.0,80.0,,,100.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,59.0,70.0,80.0,,,100.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Cameroon,Central African refugees in the East and Adamaoua,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,1.0,10.0,15.0,,,80.0
