Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),,2015,,,,,,,,,,,Secondary education provided or supported,"51,362.50","125,442.88","176,805.38",# of students enrolled in lower secondary education,80.0,100.0,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2015,"1,712,998.32",0.00,"1,712,998.32",% of children aged 3-5 yrs enrolled in early childhood education,80.0,90.0,90.0,,,80.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2015,"1,712,998.32",0.00,"1,712,998.32",% of primary school-aged children enrolled in primary education,78.0,80.0,80.0,,,100.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2015,"1,712,998.32",0.00,"1,712,998.32",% of secondary school-aged young people enrolled in secondary education,30.0,40.0,40.0,,,80.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2015,"1,712,998.32",0.00,"1,712,998.32",% of teachers who are female,15.0,20.0,20.0,,,50.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2015,"1,712,998.32",0.00,"1,712,998.32",% of teachers with professional teaching qualifications,57.0,70.0,70.0,,,70.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","802,999.72",0.00,"802,999.72",# of children per classroom (primary school),50.0,50.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","802,999.72",0.00,"802,999.72",# of educational facilities constructed or improved,1.0,1.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","802,999.72",0.00,"802,999.72",# of schools that have received support for maintenance,4.0,4.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"36,999.72",0.00,"36,999.72",# of children per teacher,50.0,50.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"36,999.72",0.00,"36,999.72",# of teachers with professional teaching qualifications,120.0,120.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"36,999.72",0.00,"36,999.72",% of female primary education teachers,40.0,40.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Measures to promote girls' education promoted,"86,999.72",0.00,"86,999.72",# of measures in place to facilitate women and girls' access to education,3.0,3.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Measures to promote girls' education promoted,"86,999.72",0.00,"86,999.72",# of measures in place to increase the number of female teachers with professional teaching qualifications,3.0,3.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Primary education provided or supported,"361,999.72",0.00,"361,999.72",# of children enrolled in primary education,"4,500.0","4,500.0",,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Secondary education provided or supported,"411,999.72",0.00,"411,999.72",# of students enrolled in lower secondary education,900.0,900.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Secondary education provided or supported,"411,999.72",0.00,"411,999.72",# of students enrolled in upper secondary education,550.0,550.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Secondary education provided or supported,"411,999.72",0.00,"411,999.72",% of female secondary education teachers,40.0,40.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Secondary education provided or supported,"411,999.72",0.00,"411,999.72",% of upper secondary school graduates (successful completion of final grade),95.0,95.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2015,,,,,,,,,,,Sports/recreation programme provided or supported,"11,999.72",0.00,"11,999.72",% of schools that provide sports/recreation programming,4.0,4.0,,
Cameroon,Central African refugees in the East and Adamaoua,Population has optimal access to education,2015,"605,421.30","1,792,393.41","2,397,814.71",% of children aged 3-5 yrs enrolled in early childhood education,0.0,50.0,80.0,,,80.0,,,,,,,,,
Cameroon,Central African refugees in the East and Adamaoua,Population has optimal access to education,2015,"605,421.30","1,792,393.41","2,397,814.71",% of primary school-aged children enrolled in primary education,59.0,70.0,80.0,,,100.0,,,,,,,,,
Cameroon,Central African refugees in the East and Adamaoua,Population has optimal access to education,2015,"605,421.30","1,792,393.41","2,397,814.71",% of secondary school-aged young people enrolled in secondary education,1.0,10.0,15.0,,,80.0,,,,,,,,,
Cameroon,Central African refugees in the East and Adamaoua,Population has optimal access to education,2015,"605,421.30","1,792,393.41","2,397,814.71",% of teachers with professional teaching qualifications,50.0,60.0,70.0,,,70.0,,,,,,,,,
Cameroon,Central African refugees in the East and Adamaoua,Population has optimal access to education,2015,"605,421.30","1,792,393.41","2,397,814.71",Extent persons of concern have access to national education systems,70.0,80.0,90.0,,,80.0,,,,,,,,,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,Advocacy conducted,"6,138.01","17,967.42","24,105.43",Strategy to promote admission of PoC to national education system established (yes/no),70.0,85.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,Early childhood education provided or supported,"8,732.04","91,797.47","100,529.51",# of children aged 3-5 enrolled in early childhood education,500.0,"1,000.0",,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,Education monitoring system established,"9,729.74","33,930.68","43,660.42",# of months this calendar year during which an education monitoring system has been functioning,12.0,12.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","452,710.00","807,150.73","1,259,860.73",# of educational facilities constructed or improved,14.0,35.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,Measures to promote girls' education promoted,"11,725.15","106,763.02","118,488.17",# of measures in place to facilitate women and girls' access to education,3.0,4.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,Primary education provided or supported,"88,548.31","639,744.09","728,292.40",# of children enrolled in primary education,"16,498.0","19,798.0",,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,Secondary education provided or supported,"27,838.05","95,040.00","122,878.05",# of students enrolled in lower secondary education,661.0,702.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2015,,,,,,,,,,,Secondary education provided or supported,"27,838.05","95,040.00","122,878.05",# of students enrolled in upper secondary education,12.0,30.0,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"241,356.13","334,362.68","575,718.81",% of children aged 3-5 yrs enrolled in early childhood education,15.0,50.0,80.0,,,80.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"241,356.13","334,362.68","575,718.81",% of persons of concern aged 15-59 who are literate (survey),67.0,75.0,80.0,,,80.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"241,356.13","334,362.68","575,718.81",% of primary school-aged children enrolled in primary education,84.0,100.0,100.0,,,100.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"241,356.13","334,362.68","575,718.81",% of secondary school-aged young people enrolled in secondary education,44.0,75.0,80.0,,,80.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Access to tertiary education provided or supported,0.00,"54,747.83","54,747.83",# of PoC who receive tertiary education scholarships,,50.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Early childhood education provided or supported,"21,138.73","22,584.94","43,723.67",# of children aged 3-5 enrolled in early childhood education,475.0,741.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Education monitoring system established,"9,166.29","13,406.07","22,572.36",# of months this calendar year during which an education monitoring system has been functioning,9.0,12.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Education monitoring system established,"9,166.29","13,406.07","22,572.36",# of partners recording education achievement statistics,3.0,4.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Involvement of key stakeholders promoted,"12,159.40","16,399.18","28,558.58",# of months this calendar year during which UNHCR has had an active relationship with the Ministry of Education,4.0,6.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Involvement of key stakeholders promoted,"12,159.40","16,399.18","28,558.58",% of schools with a functioning School Management Committee/Parent-Teacher Association,40.0,50.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,"17,147.91","43,337.17","60,485.08",# of PoC enrolled in literacy classes,200.0,350.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,"17,147.91","43,337.17","60,485.08",# of PoC enrolled in numeracy classes,200.0,350.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"15,152.51","19,392.29","34,544.80",% of primary school graduates (successful completion of final grade),90.0,100.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"119,512.28","97,213.15","216,725.43",# of children enrolled in primary education,"1,790.0","1,790.0",,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"119,512.28","97,213.15","216,725.43",# of children enrolled in primary education in the correct grade for their age,"1,629.0","1,629.0",,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"47,079.01","67,282.05","114,361.06",# of students enrolled in lower secondary education,575.0,766.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"47,079.01","67,282.05","114,361.06",# of students enrolled in upper secondary education,205.0,820.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"47,079.01","67,282.05","114,361.06",% of lower secondary school graduates (successful completion of final grade),80.0,100.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"47,079.01","67,282.05","114,361.06",% of upper secondary school graduates (successful completion of final grade),75.0,80.0,,
Central African Republic,Refugees and Asylum Seekers in rural areas,Population has optimal access to education,2015,"185,875.32","334,817.42","520,692.74",% of primary school-aged children enrolled in primary education,91.0,95.0,100.0,,,100.0,,,,,,,,,
Central African Republic,Refugees and Asylum Seekers in rural areas,Population has optimal access to education,2015,"185,875.32","334,817.42","520,692.74",% of secondary school-aged young people enrolled in secondary education,45.0,60.0,70.0,,,80.0,,,,,,,,,
Central African Republic,Refugees and Asylum Seekers in rural areas,,2015,,,,,,,,,,,Primary education provided or supported,"140,956.66","239,408.71","380,365.37",# of children enrolled in primary education,"1,100.0","1,550.0",,
Central African Republic,Refugees and Asylum Seekers in rural areas,,2015,,,,,,,,,,,Secondary education provided or supported,"44,918.66","95,408.71","140,327.37",# of students enrolled in lower secondary education,950.0,"1,450.0",,
Central African Republic,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"33,935.16","238,960.88","272,896.04",Extent persons of concern have access to national education systems,90.0,75.0,80.0,,,80.0,,,,,,,,,
Central African Republic,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"25,342.58","149,930.44","175,273.02",# of children enrolled in primary education,310.0,350.0,,
Central African Republic,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"8,592.58","89,030.44","97,623.02",# of students enrolled in lower secondary education in the correct grade for their age,120.0,135.0,,
Chad,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"23,978.74","16,537.33","40,516.07",% of primary school-aged children enrolled in primary education,100.0,100.0,100.0,,,100.0,,,,,,,,,
Chad,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"23,978.74","16,537.33","40,516.07",% of secondary school-aged young people enrolled in secondary education,88.0,50.0,100.0,,,80.0,,,,,,,,,
Chad,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"23,978.74","16,537.33","40,516.07",Extent persons of concern have access to national education systems,100.0,100.0,100.0,,,80.0,,,,,,,,,
Chad,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"16,804.83",0.00,"16,804.83",# of children enrolled in primary education,96.0,96.0,,
Chad,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"7,173.91","16,537.33","23,711.24",# of students enrolled in lower secondary education,15.0,30.0,,
Chad,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"7,173.91","16,537.33","23,711.24",# of students enrolled in upper secondary education,6.0,12.0,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2015,"661,375.00","2,367,569.88","3,028,944.88",% of children aged 3-5 yrs enrolled in early childhood education,7.0,15.0,10.0,,,80.0,,,,,,,,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2015,"661,375.00","2,367,569.88","3,028,944.88",% of primary school-aged children enrolled in primary education,28.0,45.0,45.0,,,100.0,,,,,,,,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2015,"661,375.00","2,367,569.88","3,028,944.88",% of secondary school-aged young people enrolled in secondary education,7.0,10.0,15.0,,,80.0,,,,,,,,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2015,"661,375.00","2,367,569.88","3,028,944.88",% of teachers who are female,16.0,18.0,20.0,,,50.0,,,,,,,,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2015,"661,375.00","2,367,569.88","3,028,944.88",% of teachers with professional teaching qualifications,18.0,80.0,85.0,,,70.0,,,,,,,,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Access to tertiary education provided or supported,0.00,"30,081.37","30,081.37",# of PoC enrolled in UNHCR supported tertiary education programmes,,10.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Advocacy conducted,"13,394.20","15,040.68","28,434.88",# of families identified with school-aged children out of school,500.0,"1,000.0",,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Advocacy conducted,"13,394.20","15,040.68","28,434.88",Strategy to promote admission of PoC to national education system established (yes/no),70.0,80.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Early childhood education provided or supported,0.00,"230,081.37","230,081.37",# of children aged 3-5 enrolled in early childhood education,,"3,700.0",,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"578,151.37","578,151.37",# of children per desk (primary school),,3.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"578,151.37","578,151.37",# of educational facilities constructed or improved,,30.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,0.00,"230,081.37","230,081.37",# of PoC enrolled in literacy classes,,500.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"236,625.20","554,349.68","790,974.88",# of teachers enrolled in on-going in-service training leading to teacher certification,25.0,45.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Measures to promote girls' education promoted,"13,394.20","15,040.68","28,434.88",# of measures in place to facilitate women and girls' access to education,2.0,3.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Primary education provided or supported,"375,475.20","529,343.68","904,818.88",# of children enrolled in primary education,"6,856.0","7,336.0",,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Secondary education provided or supported,"22,486.20","185,399.68","207,885.88",# of students enrolled in lower secondary education,660.0,750.0,,
Chad,Refugees from the Central African Republic,,2015,,,,,,,,,,,Secondary education provided or supported,"22,486.20","185,399.68","207,885.88",# of students enrolled in upper secondary education,330.0,375.0,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,Population has optimal access to education,2015,"27,410.79","9,479.05","36,889.84",Extent persons of concern have access to national education systems,100.0,100.0,100.0,,,80.0,,,,,,,,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,,2015,,,,,,,,,,,Primary education provided or supported,"27,410.79",0.00,"27,410.79",# of children enrolled in primary education,20.0,20.0,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,,2015,,,,,,,,,,,Secondary education provided or supported,0.00,"9,479.05","9,479.05",# of students enrolled in lower secondary education,,20.0,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,,2015,,,,,,,,,,,Secondary education provided or supported,0.00,"9,479.05","9,479.05",# of students enrolled in upper secondary education,,20.0,,
China,Urban refugees and asylum seekers in Mainland China,Population has optimal access to education,2015,"46,181.60","27,730.13","73,911.73",% of primary school-aged children enrolled in primary education,100.0,50.0,100.0,,,100.0,,,,,,,,,
China,Urban refugees and asylum seekers in Mainland China,Population has optimal access to education,2015,"46,181.60","27,730.13","73,911.73",Extent persons of concern have access to national education systems,50.0,100.0,100.0,,,80.0,,,,,,,,,
China,Urban refugees and asylum seekers in Mainland China,,2015,,,,,,,,,,,Advocacy conducted,"18,090.80",0.00,"18,090.80",Strategy to promote admission of PoC to national education system established (yes/no),100.0,100.0,,
China,Urban refugees and asylum seekers in Mainland China,,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,0.00,"13,463.59","13,463.59",# of PoC enrolled in language classes,,50.0,,
China,Urban refugees and asylum seekers in Mainland China,,2015,,,,,,,,,,,Primary education provided or supported,"28,090.80",0.00,"28,090.80",# of children enrolled in primary education,12.0,12.0,,
China,Urban refugees and asylum seekers in Mainland China,,2015,,,,,,,,,,,Secondary education provided or supported,0.00,"14,266.54","14,266.54",# of students enrolled in lower secondary education,,15.0,,
Congo,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"167,144.76","704,120.00","871,264.76",% of primary school-aged children enrolled in primary education,60.0,75.0,100.0,,,100.0,,,,,,,,,
Congo,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"167,144.76","704,120.00","871,264.76",% of secondary school-aged young people enrolled in secondary education,31.0,31.0,80.0,,,80.0,,,,,,,,,
Congo,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"108,572.38","452,060.00","560,632.38",# of children enrolled in primary education,75.0,100.0,,
Congo,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Secondary education provided or supported,"58,572.38","252,060.00","310,632.38",# of students enrolled in upper secondary education in the correct grade for their age,223.0,720.0,,
Costa Rica,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2015,"12,815.16","13,073.80","25,888.96",Extent persons of concern have access to national education systems,70.0,75.0,80.0,,,80.0,,,,,,,,,
Costa Rica,"Refugees, asylum seekers and others of concern",,2015,,,,,,,,,,,Advocacy conducted,"12,815.16","13,073.80","25,888.96",Strategy to promote admission of PoC to national education system established (yes/no),80.0,85.0,,
Democratic Republic of the Congo,Internally displaced and returning displaced persons,Population has optimal access to education,2015,0.00,"3,840,701.85","3,840,701.85",Extent persons of concern have access to national education systems,30.0,,60.0,,,80.0,,,,,,,,,
Democratic Republic of the Congo,Internally displaced and returning displaced persons,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained",0.00,"3,840,701.85","3,840,701.85",# of educational facilities constructed or improved,,60.0,,
Democratic Republic of the Congo,Refugees and asylum seekers,Population has optimal access to education,2015,"588,179.85","1,022,312.94","1,610,492.79",% of children aged 3-5 yrs enrolled in early childhood education,0.0,17.0,100.0,,,80.0,,,,,,,,,
Democratic Republic of the Congo,Refugees and asylum seekers,Population has optimal access to education,2015,"588,179.85","1,022,312.94","1,610,492.79",% of primary school-aged children enrolled in primary education,99.0,100.0,100.0,,,100.0,,,,,,,,,
Democratic Republic of the Congo,Refugees and asylum seekers,Population has optimal access to education,2015,"588,179.85","1,022,312.94","1,610,492.79",% of secondary school-aged young people enrolled in secondary education,64.0,25.0,100.0,,,80.0,,,,,,,,,
Democratic Republic of the Congo,Refugees and asylum seekers,,2015,,,,,,,,,,,Early childhood education provided or supported,"67,635.97","390,770.98","458,406.95",# of children aged 3-5 enrolled in early childhood education,500.0,"1,000.0",,
Democratic Republic of the Congo,Refugees and asylum seekers,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","335,271.94",0.00,"335,271.94",# of educational facilities constructed or improved,6.0,6.0,,
Democratic Republic of the Congo,Refugees and asylum seekers,,2015,,,,,,,,,,,Primary education provided or supported,"142,635.97","415,770.98","558,406.95",# of children enrolled in primary education,"9,000.0","9,000.0",,
Democratic Republic of the Congo,Refugees and asylum seekers,,2015,,,,,,,,,,,Secondary education provided or supported,"42,635.97","215,770.98","258,406.95",# of students enrolled in lower secondary education,750.0,"4,000.0",,
Democratic Republic of the Congo,Refugees and asylum seekers,,2015,,,,,,,,,,,Secondary education provided or supported,"42,635.97","215,770.98","258,406.95",# of students enrolled in upper secondary education,250.0,"1,000.0",,
Democratic Republic of the Congo,Refugees and asylum seekers in Gabon,Population has optimal access to education,2015,"46,453.48","19,677.34","66,130.82",% of primary school-aged children enrolled in primary education,100.0,90.0,90.0,,,100.0,,,,,,,,,
Democratic Republic of the Congo,Refugees and asylum seekers in Gabon,Population has optimal access to education,2015,"46,453.48","19,677.34","66,130.82",% of secondary school-aged young people enrolled in secondary education,100.0,100.0,100.0,,,80.0,,,,,,,,,
Democratic Republic of the Congo,Refugees and asylum seekers in Gabon,Population has optimal access to education,2015,"46,453.48","19,677.34","66,130.82",Extent persons of concern have access to national education systems,30.0,100.0,100.0,,,80.0,,,,,,,,,
Democratic Republic of the Congo,Refugees and asylum seekers in Gabon,,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,"12,151.16","6,225.78","18,376.94",# of education programmes with life skills initiatives,20.0,28.0,,
Democratic Republic of the Congo,Refugees and asylum seekers in Gabon,,2015,,,,,,,,,,,Primary education provided or supported,"22,151.16","7,225.78","29,376.94",# of children enrolled in primary education,200.0,250.0,,
Democratic Republic of the Congo,Refugees and asylum seekers in Gabon,,2015,,,,,,,,,,,Secondary education provided or supported,"12,151.16","6,225.78","18,376.94",# of students enrolled in lower secondary education,120.0,255.0,,
Democratic Republic of the Congo,Refugees and asylum seekers in Gabon,,2015,,,,,,,,,,,Secondary education provided or supported,"12,151.16","6,225.78","18,376.94",# of students enrolled in upper secondary education,80.0,162.0,,
