Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Botswana,Refugees and asylum seekers,,2013,,,,,,,,,,,Secondary education provided or supported,"136,023.69",0.00,"136,023.69",# of children enrolled in secondary education at correct age for their grade,362.0,362.0,,
Botswana,Refugees and asylum seekers,,2013,,,,,,,,,,,Vocational training provided,"23,166.45","18,556.49","41,722.94",# of persons participating in vocational training,10.0,15.0,,
Brazil,"Refugees, asylum seekers and other persons of concern",Population has optimal access to education,2013,"27,346.77","29,730.38","57,077.15",% of persons of concern aged 6-13 yrs enrolled in primary education,95.0,98.0,98.3,,,100.0,,,,,,,,,
Brazil,"Refugees, asylum seekers and other persons of concern",,2013,,,,,,,,,,,Advocacy conducted,"27,346.77","29,730.38","57,077.15",Strategy to promote admission of PoCs to national education system established (yes/no),80.0,90.0,,
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),Population has optimal access to education,2013,"223,463.10","49,141.26","272,604.36",% of persons of concern aged 14-17 enrolled in secondary education,45.0,85.0,100.0,,,80.0,,,,,,,,,
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),Population has optimal access to education,2013,"223,463.10","49,141.26","272,604.36",% of youths aged 15-24 enrolled in certified training,30.0,60.0,60.0,,,50.0,,,,,,,,,
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),,2013,,,,,,,,,,,Primary education provided or supported,"223,463.10",0.00,"223,463.10",# of children enrolled in primary education,150.0,150.0,,
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),,2013,,,,,,,,,,,Scholarships (vocational) provided,0.00,"24,570.63","24,570.63",# of scholarships (vocational) provided,,40.0,,
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),,2013,,,,,,,,,,,Secondary education provided or supported,0.00,"24,570.63","24,570.63",# of PoC enrolled in secondary education,,70.0,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2013,"1,118,820.84","16,856.68","1,135,677.52",% of persons of concern aged 14-17 enrolled in secondary education,21.0,26.0,30.0,,,80.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2013,"1,118,820.84","16,856.68","1,135,677.52",% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,80.0,85.0,,,100.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2013,"1,118,820.84","16,856.68","1,135,677.52",% of teachers who are female,19.0,22.0,25.0,,,50.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2013,"1,118,820.84","16,856.68","1,135,677.52",% of teachers who are qualified,73.0,75.0,75.0,,,70.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,Population has optimal access to education,2013,"1,118,820.84","16,856.68","1,135,677.52",% of youths aged 15-24 enrolled in certified training,40.0,50.0,50.0,,,50.0,,,,,,,,,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Adult education provided,"147,894.42",0.00,"147,894.42",# of persons participating in literacy/ numeracy classes,500.0,500.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Measures to increase retention rate implemented,"152,979.62",0.00,"152,979.62",# of children completing primary education,550.0,550.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Measures to increase retention rate implemented,"152,979.62",0.00,"152,979.62",# of children completing secondary education,35.0,35.0,,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Primary education provided or supported,"380,880.60","8,428.34","389,308.94",# of children enrolled in primary education,880.0,"9,000.0",,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Primary education provided or supported,"380,880.60","8,428.34","389,308.94",# of children regularly attending primary education,"7,950.0","8,100.0",,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Secondary education provided or supported,"348,953.52","8,428.34","357,381.86",# of children regularly attending secondary education,"1,750.0","1,800.0",,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Secondary education provided or supported,"348,953.52","8,428.34","357,381.86",# of PoC enrolled in secondary education,"1,800.0","2,000.0",,
Burundi,Refugees and asylum-seekers in Burundi,,2013,,,,,,,,,,,Vocational training provided,"88,112.68",0.00,"88,112.68",# of persons participating in vocational training,500.0,500.0,,
Cameroon,Central African refugees in the East and Adamaoua,Population has optimal access to education,2013,"269,217.42","856,831.33","1,126,048.75",% of persons of concern aged 14-17 enrolled in secondary education,,25.0,50.0,,,80.0,,,,,,,,,
Cameroon,Central African refugees in the East and Adamaoua,Population has optimal access to education,2013,"269,217.42","856,831.33","1,126,048.75",% of persons of concern aged 6-13 yrs enrolled in primary education,36.7,48.0,60.0,,,100.0,,,,,,,,,
Cameroon,Central African refugees in the East and Adamaoua,,2013,,,,,,,,,,,Education monitoring system established,"16,860.60","10,756.27","27,616.87",Functional education monitoring system established (yes/no),50.0,90.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2013,,,,,,,,,,,Educational facilities constructed,"85,433.17","438,476.46","523,909.63",# of educational facilities constructed and accessible for children with disabilities,50.0,100.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2013,,,,,,,,,,,Measures to increase retention rate implemented,0.00,"32,459.12","32,459.12",# of children completing primary education,"15,000.0","19,000.0",,
Cameroon,Central African refugees in the East and Adamaoua,,2013,,,,,,,,,,,Measures to increase retention rate implemented,0.00,"32,459.12","32,459.12",# of children completing secondary education,127.0,500.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2013,,,,,,,,,,,Primary education provided or supported,"41,974.44","284,457.96","326,432.40",# of children enrolled in primary education,"15,000.0","19,000.0",,
Cameroon,Central African refugees in the East and Adamaoua,,2013,,,,,,,,,,,Secondary education provided or supported,"25,591.59","29,395.45","54,987.04",# of PoC enrolled in secondary education,300.0,500.0,,
Cameroon,Central African refugees in the East and Adamaoua,,2013,,,,,,,,,,,Vocational training provided,"17,743.51","19,585.35","37,328.86",# of persons participating in vocational training,400.0,500.0,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"309,973.21","329,072.69","639,045.90",% of children aged 3-5 yrs enrolled in early childhood education,55.5,75.0,100.0,,,80.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"309,973.21","329,072.69","639,045.90",% of persons of concern aged 14-17 enrolled in secondary education,62.0,70.0,75.0,,,80.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"309,973.21","329,072.69","639,045.90",% of persons of concern aged 6-13 yrs enrolled in primary education,77.6,100.0,100.0,,,100.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"309,973.21","329,072.69","639,045.90",% of youths aged 15-24 enrolled in certified training,18.6,20.0,25.0,,,50.0,,,,,,,,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Adult education provided,0.00,"17,885.98","17,885.98",# of persons participating in literacy/ numeracy classes,,350.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Adult education provided,0.00,"17,885.98","17,885.98",# of persons regularly attending adult education,,500.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Community involvement promoted,"31,051.33","13,848.04","44,899.37",# of active educational committees established,1.0,2.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Community involvement promoted,"31,051.33","13,848.04","44,899.37",# of out of school outreach programmes established,,,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Early childhood education provided or supported,0.00,"27,696.07","27,696.07",# of children attending early childhood education,,300.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Education monitoring system established,0.00,"14,942.95","14,942.95",Functional education monitoring system established (yes/no),40.0,50.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Primary education provided or supported,"140,348.01",0.00,"140,348.01",# of children enrolled in primary education,"1,852.0","1,852.0",,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Primary education provided or supported,"140,348.01",0.00,"140,348.01",# of children enrolled in primary education in the correct grade for their age,"1,500.0","1,500.0",,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Primary education provided or supported,"140,348.01",0.00,"140,348.01",# of children regularly attending primary education,"1,372.0","1,372.0",,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Primary education provided or supported,"140,348.01",0.00,"140,348.01",# of scholarships (primary) provided,"1,500.0","1,500.0",,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Scholarships (tertiary) provided,0.00,"47,316.26","47,316.26",# of refugees enrolled in tertiary education,,100.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Scholarships (tertiary) provided,0.00,"47,316.26","47,316.26",# of scholarships (tertiary) provided,,100.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Secondary education provided or supported,"138,573.87","82,518.71","221,092.58",# of children enrolled in secondary education at correct age for their grade,,400.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Secondary education provided or supported,"138,573.87","82,518.71","221,092.58",# of children regularly attending secondary education,400.0,351.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Secondary education provided or supported,"138,573.87","82,518.71","221,092.58",# of PoC enrolled in secondary education,450.0,500.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Secondary education provided or supported,"138,573.87","82,518.71","221,092.58",# of scholarships (lower secondary) provided,,258.0,,
Cameroon,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Vocational training provided,0.00,"124,864.68","124,864.68",# of persons participating in vocational training,110.0,150.0,,
Central African Republic,Refugees and Asylum Seekers in rural areas,Population has optimal access to education,2013,"286,459.86","91,392.88","377,852.74",% of persons of concern aged 14-17 enrolled in secondary education,54.0,20.0,80.0,,,80.0,,,,,,,,,
Central African Republic,Refugees and Asylum Seekers in rural areas,Population has optimal access to education,2013,"286,459.86","91,392.88","377,852.74",% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,80.0,100.0,,,100.0,,,,,,,,,
Central African Republic,Refugees and Asylum Seekers in rural areas,,2013,,,,,,,,,,,Primary education provided or supported,"244,610.62","83,651.47","328,262.09",# of children enrolled in primary education,"1,360.0","1,700.0",,
Central African Republic,Refugees and Asylum Seekers in rural areas,,2013,,,,,,,,,,,Secondary education provided or supported,0.00,"5,160.94","5,160.94",# of PoC enrolled in secondary education,,"1,030.0",,
Central African Republic,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"21,744.65","33,925.25","55,669.90",% of persons of concern aged 6-13 yrs enrolled in primary education,60.0,80.0,100.0,,,100.0,,,,,,,,,
Central African Republic,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Measures to increase retention rate implemented,"21,744.65","33,925.25","55,669.90",# of children completing primary education,"1,052.0","1,316.0",,
Chad,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"113,587.42","21,179.06","134,766.48",% of persons of concern aged 14-17 enrolled in secondary education,70.0,80.0,85.0,,,80.0,,,,,,,,,
Chad,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"113,587.42","21,179.06","134,766.48",% of persons of concern aged 6-13 yrs enrolled in primary education,90.0,95.0,95.0,,,100.0,,,,,,,,,
Chad,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Measures to increase enrolment rate implemented,"40,955.28",0.00,"40,955.28",# of children supported with education costs,77.0,77.0,,
Chad,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Primary education provided or supported,"72,632.14",0.00,"72,632.14",# of children enrolled in primary education,85.0,85.0,,
Chad,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Secondary education provided or supported,0.00,"21,179.06","21,179.06",# of PoC enrolled in secondary education,,30.0,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2013,"2,070,779.63","1,292,481.00","3,363,260.63",% of persons of concern aged 14-17 enrolled in secondary education,7.0,7.0,15.0,,,80.0,,,,,,,,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2013,"2,070,779.63","1,292,481.00","3,363,260.63",% of persons of concern aged 6-13 yrs enrolled in primary education,66.0,70.0,75.0,,,100.0,,,,,,,,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2013,"2,070,779.63","1,292,481.00","3,363,260.63",% of teachers who are female,15.0,17.0,17.0,,,50.0,,,,,,,,,
Chad,Refugees from the Central African Republic,Population has optimal access to education,2013,"2,070,779.63","1,292,481.00","3,363,260.63",% of teachers who are qualified,10.0,14.0,50.0,,,70.0,,,,,,,,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Adult education provided,0.00,"132,137.42","132,137.42",# of persons participating in literacy/ numeracy classes,,600.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Advocacy conducted,"170,928.88",0.00,"170,928.88",Strategy to promote admission of PoCs to national education system established (yes/no),100.0,100.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Community involvement promoted,"170,928.88",0.00,"170,928.88",# of active educational committees established,8.0,8.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Education monitoring system established,"170,928.88",0.00,"170,928.88",Functional education monitoring system established (yes/no),100.0,100.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Educational facilities constructed,0.00,"482,137.42","482,137.42",# of educational facilities constructed and accessible for children with disabilities,,30.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Life skills and reproductive health and HIV prevention education provided,"170,928.88",0.00,"170,928.88","# of schools teaching life skills, reproductive health and HIV prevention as part of the school curriculum",6.0,6.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Measures to improve education quality and learning achievement implemented,"317,513.56","316,068.72","633,582.28",# of qualified teachers,19.0,68.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Measures to improve education quality and learning achievement implemented,"317,513.56","316,068.72","633,582.28",# of teachers who have received training,136.0,136.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Measures to increase enrolment rate implemented,"170,928.88",0.00,"170,928.88",# of sensitization and community mobilization campaigns conducted to promote school enrollment,6.0,6.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Measures to increase retention rate implemented,"170,928.88",0.00,"170,928.88",# of tracking systems to identify and support children at risk operational,6.0,6.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Measures to promote girls' education promoted,"170,928.88",0.00,"170,928.88",# of female teachers,15.0,15.0,,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Primary education provided or supported,"461,848.41","156,068.72","617,917.13",# of children enrolled in primary education,"8,000.0","8,500.0",,
Chad,Refugees from the Central African Republic,,2013,,,,,,,,,,,Secondary education provided or supported,"94,915.50","206,068.72","300,984.22",# of PoC enrolled in secondary education,800.0,"1,636.0",,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,Population has optimal access to education,2013,"37,576.61","89,566.53","127,143.14",% of children aged 3-5 yrs enrolled in early childhood education,50.0,0.0,75.0,,,80.0,,,,,,,,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,Population has optimal access to education,2013,"37,576.61","89,566.53","127,143.14",% of persons of concern aged 14-17 enrolled in secondary education,75.0,0.0,75.0,,,80.0,,,,,,,,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,Population has optimal access to education,2013,"37,576.61","89,566.53","127,143.14",% of persons of concern aged 6-13 yrs enrolled in primary education,90.0,50.0,90.0,,,100.0,,,,,,,,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,Population has optimal access to education,2013,"37,576.61","89,566.53","127,143.14",% of teachers who are qualified,100.0,100.0,100.0,,,70.0,,,,,,,,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,,2013,,,,,,,,,,,Early childhood education provided or supported,0.00,"4,122.33","4,122.33",# of children attending early childhood education,,3.0,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,,2013,,,,,,,,,,,Life skills and reproductive health and HIV prevention education provided,0.00,"79,260.71","79,260.71","# of programmes teaching life skills, reproductive health and HIV prevention outside of the school curriculum",,1.0,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,,2013,,,,,,,,,,,Primary education provided or supported,"37,576.61","2,061.16","39,637.77",# of children enrolled in primary education,14.0,18.0,,
China,Refugees and asylum seekers in urban areas in Hong Kong SAR,,2013,,,,,,,,,,,Secondary education provided or supported,0.00,"4,122.33","4,122.33",# of PoC enrolled in secondary education,,10.0,,
China,Urban refugees and asylum seekers in Mainland China,Population has optimal access to education,2013,"141,749.49","33,044.90","174,794.39",% of persons of concern aged 14-17 enrolled in secondary education,17.0,17.0,100.0,,,80.0,,,,,,,,,
China,Urban refugees and asylum seekers in Mainland China,Population has optimal access to education,2013,"141,749.49","33,044.90","174,794.39",% of persons of concern aged 6-13 yrs enrolled in primary education,31.0,100.0,100.0,,,100.0,,,,,,,,,
China,Urban refugees and asylum seekers in Mainland China,,2013,,,,,,,,,,,Advocacy conducted,"66,907.75",0.00,"66,907.75",# of persons of concern admitted to national education system,28.0,28.0,,
China,Urban refugees and asylum seekers in Mainland China,,2013,,,,,,,,,,,Primary education provided or supported,"74,841.74",0.00,"74,841.74",# of children enrolled in primary education,16.0,16.0,,
China,Urban refugees and asylum seekers in Mainland China,,2013,,,,,,,,,,,Vocational training provided,0.00,"33,044.90","33,044.90",# of persons participating in vocational training,,50.0,,
Congo,Refugees and asylum seekers in urban areas,Population has optimal access to education,2013,"370,186.57","172,008.76","542,195.33",% of persons of concern aged 6-13 yrs enrolled in primary education,72.0,60.0,60.0,,,100.0,,,,,,,,,
Congo,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Measures to increase enrolment rate implemented,"38,118.59","7,004.38","45,122.97",# of children supported with education costs,"1,200.0","1,200.0",,
Congo,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Primary education provided or supported,"107,287.78",0.00,"107,287.78",# of children enrolled in primary education,"1,200.0","1,200.0",,
Congo,Refugees and asylum seekers in urban areas,,2013,,,,,,,,,,,Secondary education provided or supported,"224,780.20","165,004.38","389,784.58",# of children enrolled in secondary education at correct age for their grade,500.0,"1,500.0",,
Costa Rica,"Refugees, asylum seekers and others of concern",Population has optimal access to education,2013,"74,855.06","8,643.14","83,498.20",% of persons of concern aged 14-17 enrolled in secondary education,95.0,95.0,96.0,,,80.0,,,,,,,,,
Costa Rica,"Refugees, asylum seekers and others of concern",,2013,,,,,,,,,,,Advocacy conducted,"10,890.92","4,321.57","15,212.49",Strategy to promote admission of PoCs to national education system established (yes/no),70.0,75.0,,
Costa Rica,"Refugees, asylum seekers and others of concern",,2013,,,,,,,,,,,Involvement of key stakeholders promoted,"31,291.39",0.00,"31,291.39",Relationship with the Ministry of Education established (yes/no),75.0,75.0,,
Costa Rica,"Refugees, asylum seekers and others of concern",,2013,,,,,,,,,,,Measures ensuring recognition of school certificates put in place,"21,781.83",0.00,"21,781.83",Advocacy for school certificates to be recognized by national authorities conducted (yes/no),50.0,50.0,,
Costa Rica,"Refugees, asylum seekers and others of concern",,2013,,,,,,,,,,,Measures to improve education quality and learning achievement implemented,"10,890.92","4,321.57","15,212.49",# of children with adequate access to teaching and learning materials,150.0,250.0,,
Costa Rica,"Refugees, asylum seekers and others of concern",,2013,,,,,,,,,,,Measures to improve education quality and learning achievement implemented,"10,890.92","4,321.57","15,212.49",# of teachers who have received training,200.0,300.0,,
Cote dIvoire,Refugees,Population has optimal access to education,2013,"206,925.01","427,255.83","634,180.84",% of persons of concern aged 14-17 enrolled in secondary education,30.0,100.0,100.0,,,80.0,,,,,,,,,
Cote dIvoire,Refugees,Population has optimal access to education,2013,"206,925.01","427,255.83","634,180.84",% of persons of concern aged 6-13 yrs enrolled in primary education,20.0,90.0,100.0,,,100.0,,,,,,,,,
Cote dIvoire,Refugees,,2013,,,,,,,,,,,Primary education provided or supported,"81,806.06",0.00,"81,806.06",# of children enrolled in primary education,400.0,400.0,,
Cote dIvoire,Refugees,,2013,,,,,,,,,,,Scholarships (tertiary) provided,"51,999.08","112,418.61","164,417.69",# of scholarships (tertiary) provided,,,,
Cote dIvoire,Refugees,,2013,,,,,,,,,,,Secondary education provided or supported,"28,885.77","252,418.61","281,304.38",# of PoC enrolled in secondary education,,60.0,,
Cote dIvoire,Refugees,,2013,,,,,,,,,,,Vocational training provided,"44,234.10","62,418.61","106,652.71",# of persons participating in vocational training,,50.0,,
Democratic Republic of the Congo,Internally displaced and returning displaced persons,Population has optimal access to education,2013,"94,699.19","1,621,231.40","1,715,930.59",% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,0.0,100.0,,,100.0,,,,,,,,,
Democratic Republic of the Congo,Internally displaced and returning displaced persons,,2013,,,,,,,,,,,Educational facilities constructed,"94,699.19","1,473,743.79","1,568,442.98",# of educational facilities constructed and accessible for children with disabilities,0.0,72.0,,
Democratic Republic of the Congo,Internally displaced and returning displaced persons,,2013,,,,,,,,,,,Primary education provided or supported,0.00,"147,487.61","147,487.61",# of children enrolled in primary education,,"8,000.0",,
Democratic Republic of the Congo,Refugees and asylum seekers,Population has optimal access to education,2013,"889,038.24","258,744.08","1,147,782.32",% of persons of concern aged 14-17 enrolled in secondary education,43.0,64.0,85.0,,,80.0,,,,,,,,,
